session,start_ts,outcome,first_chunk_s,total_s,to_stall_s,retries,trigger,stall_from_chunk_s,used_tokens_at_send,limit_tokens
S3,2026-09-03 14:32:39.375,S,4.7,18.4,,0,chat_finish,,185533,1000000
S3,2026-09-03 15:22:12.000,T,17.1,,260.3,0,permission_request,243.2,187288,1000000
S3,2026-09-03 15:22:12.000,S,17.1,995.6,,1,chat_finish,,187288,1000000
S3,2026-09-03 15:42:50.456,S,9.5,543.7,,0,chat_finish,,202058,1000000
S3,2026-09-03 16:10:11.942,T,4.7,,675.9,0,permission_request,671.3,228969,1000000
S3,2026-09-03 16:10:11.942,S,4.7,1706.0,,1,chat_finish,,228969,1000000
S3,2026-09-03 17:09:01.595,S,13.6,117.3,,0,chat_finish,,257180,1000000
S3,2026-09-03 17:41:30.063,S,13.8,57.9,,0,chat_finish,,265496,1000000
S3,2026-09-03 18:25:01.265,S,25.2,1781.0,,0,chat_finish,,296032,1000000
S3,2026-09-03 18:58:26.111,S,9.6,28.6,,0,chat_finish,,324571,1000000
S3,2026-09-03 19:04:16.228,S,6.3,117.8,,0,chat_finish,,325825,1000000
S3,2026-09-03 19:24:15.352,S,4.8,307.2,,0,chat_finish,,351088,1000000
S3,2026-09-03 19:29:22.762,S,11.5,24.4,,0,chat_finish,,358011,1000000
S3,2026-09-03 19:32:53.878,T,9.0,,81.7,0,permission_request,72.7,358859,1000000
S3,2026-09-03 19:44:41.825,T,5.1,,47.6,0,permission_request,42.6,370425,1000000
S3,2026-09-03 19:47:55.665,T,4.9,,30.5,0,permission_request,25.6,377606,1000000
S3,2026-09-03 19:47:55.665,T,4.9,,713.9,0,permission_request,709.0,377606,1000000
S3,2026-09-03 19:47:55.665,S,4.9,1513.3,,2,chat_finish,,377606,1000000
S3,2026-09-03 20:13:09.193,U,10.9,280.2,,0,user_cancel,,391056,1000000
S3,2026-09-03 20:19:43.100,T,6.5,,376.0,0,permission_request,369.5,404492,1000000
S3,2026-09-03 20:19:43.100,S,6.5,519.6,,1,chat_finish,,404492,1000000
S3,2026-09-03 20:30:22.955,S,6.5,227.0,,0,chat_finish,,426483,1000000
S3,2026-09-03 22:41:40.206,S,26.3,305.7,,0,chat_finish,,438161,1000000
S3,2026-09-03 22:52:06.350,S,26.2,107.5,,0,chat_finish,,451933,1000000
S3,2026-09-03 22:56:39.547,S,7.2,23.3,,0,chat_finish,,456281,1000000
S3,2026-09-03 23:12:56.596,T,25.7,,163.5,0,permission_request,137.8,457263,1000000
S3,2026-09-03 23:17:52.507,S,13.0,31.3,,0,chat_finish,,466723,1000000
S3,2026-09-03 23:31:44.645,S,44.7,357.6,,0,chat_finish,,467907,1000000
S3,2026-09-03 23:47:05.648,S,7.6,74.2,,0,chat_finish,,488898,1000000
S3,2026-09-03 23:58:44.256,S,7.1,56.8,,0,chat_finish,,492881,1000000
S3,2026-09-04 00:03:21.962,S,7.1,47.1,,0,chat_finish,,495668,1000000
S3,2026-09-04 00:06:04.346,S,6.6,518.6,,0,chat_finish,,497747,1000000
S4,2026-09-07 08:31:05.533,T,2.9,,240.6,0,permission_request,237.7,,
S4,2026-09-07 08:44:08.969,S,2.2,1008.5,,0,chat_finish,,41762,1000000
S4,2026-09-07 09:06:46.297,S,4.5,1243.2,,0,chat_finish,,125222,1000000
S4,2026-09-07 10:27:53.538,T,5.7,,494.4,0,permission_request,488.7,195548,1000000
S4,2026-09-07 10:27:53.538,U,5.7,2415.8,,0,user_cancel,,195548,1000000
S4,2026-09-07 11:08:09.658,S,10.0,196.2,,0,chat_finish,,223871,1000000
S4,2026-09-07 11:19:13.261,S,8.1,363.8,,0,chat_finish,,230290,1000000
S4,2026-09-07 11:55:42.420,T,49.4,,988.4,0,permission_request,939.1,247805,1000000
S4,2026-09-07 11:55:42.420,S,49.4,3548.8,,1,chat_finish,,247805,1000000
S4,2026-09-07 13:15:08.915,S,44.5,411.7,,0,chat_finish,,377802,1000000
S4,2026-09-07 13:27:57.124,U,,14.0,,0,user_cancel,,394044,1000000
S4,2026-09-07 13:28:27.868,U,11.1,770.0,,0,user_cancel,,394044,1000000
S4,2026-09-07 13:41:18.121,U,,1.5,,0,user_cancel,,423157,1000000
S4,2026-09-07 13:54:47.530,T,5.5,,327.6,0,permission_request,322.1,466672,1000000
S4,2026-09-07 13:54:47.530,T,5.5,,894.6,0,resume_tool_call,889.1,466672,1000000
S4,2026-09-07 13:54:47.530,S,5.5,1296.2,,2,chat_finish,,466672,1000000
S4,2026-09-07 14:19:59.559,T,24.5,,353.5,0,permission_request,329.0,512144,1000000
S4,2026-09-07 14:19:59.559,T,24.5,,528.1,0,permission_request,503.6,512144,1000000
S4,2026-09-07 14:19:59.559,S,24.5,784.2,,2,chat_finish,,512144,1000000
S4,2026-09-07 14:39:29.092,T,31.7,,295.9,0,permission_request,264.2,559453,1000000
S4,2026-09-07 14:44:40.158,T,8.9,,186.8,0,permission_request,177.9,574010,1000000
S4,2026-09-07 14:44:40.158,S,8.9,360.2,,1,chat_finish,,574010,1000000
S4,2026-09-07 14:50:40.782,F,13.4,49.1,,0,chat_finish,,601910,1000000
S4,2026-09-07 14:55:26.188,S,30.1,185.4,,0,chat_finish,,603442,1000000
S5,2026-09-07 16:34:38.201,T,1.8,,302.0,0,permission_request,300.2,,
S5,2026-09-07 16:34:38.201,S,1.8,640.5,,1,chat_finish,,,
S5,2026-09-07 16:52:12.422,T,9.5,,250.9,0,permission_request,241.4,89452,1000000
S5,2026-09-07 16:52:12.422,S,9.5,1236.4,,1,chat_finish,,89452,1000000
S5,2026-09-07 17:12:49.113,S,2.4,73.5,,0,chat_finish,,165814,1000000
S5,2026-09-07 17:16:10.870,S,21.1,670.9,,0,chat_finish,,169471,1000000
S5,2026-09-07 18:19:02.255,T,24.3,,152.9,0,permission_request,128.6,218641,1000000
S5,2026-09-07 18:19:02.255,U,24.3,456.4,,0,user_cancel,,218641,1000000
S5,2026-09-07 18:26:38.942,S,31.7,129.3,,0,chat_finish,,234153,1000000
S5,2026-09-07 18:32:37.720,T,47.1,,324.1,0,permission_request,277.0,243997,1000000
S5,2026-09-07 18:32:37.720,S,47.1,823.6,,1,chat_finish,,243997,1000000
S5,2026-09-07 18:51:24.278,T,32.0,,595.3,0,permission_request,563.3,289842,1000000
S5,2026-09-07 18:51:24.278,S,32.0,836.3,,1,chat_finish,,289842,1000000
S5,2026-09-07 19:09:50.648,S,40.5,141.8,,0,chat_finish,,349136,1000000
S5,2026-09-07 19:32:18.832,S,41.9,335.4,,0,chat_finish,,360088,1000000
S5,2026-09-07 20:06:42.581,S,45.7,210.5,,0,chat_finish,,391051,1000000
S5,2026-09-07 20:13:12.517,S,7.2,311.0,,0,chat_finish,,411162,1000000
S5,2026-09-07 20:18:23.857,S,7.3,42.7,,0,chat_finish,,439012,1000000
S5,2026-09-07 21:59:33.209,T,53.6,,568.6,0,permission_request,515.0,441949,1000000
S5,2026-09-07 21:59:33.209,S,53.6,1205.6,,1,chat_finish,,441949,1000000
S5,2026-09-07 22:19:39.226,S,6.3,187.7,,0,chat_finish,,500396,1000000
S5,2026-09-07 22:43:46.186,S,25.6,160.3,,0,chat_finish,,516323,1000000
S5,2026-09-07 22:50:05.786,T,25.7,,72.7,0,permission_request,47.0,529705,1000000
S5,2026-09-07 22:50:05.786,S,25.7,231.4,,1,chat_finish,,529705,1000000
S5,2026-09-07 22:53:57.503,T,4.8,,307.1,0,permission_request,302.3,537470,1000000
S5,2026-09-07 22:53:57.503,S,4.8,646.4,,1,chat_finish,,537470,1000000
S5,2026-09-07 23:06:44.331,T,5.7,,230.9,0,permission_request,225.2,567753,1000000
S5,2026-09-07 23:06:44.331,S,5.7,348.3,,1,chat_finish,,567753,1000000
S5,2026-09-07 23:13:45.214,T,5.6,,66.2,0,permission_request,60.6,594624,1000000
S5,2026-09-07 23:13:45.214,T,5.6,,489.4,0,permission_request,483.9,594624,1000000
S5,2026-09-07 23:13:45.214,S,5.6,798.5,,2,chat_finish,,594624,1000000
S5,2026-09-07 23:27:04.010,S,5.5,175.0,,0,chat_finish,,630631,1000000
S5,2026-09-07 23:36:52.394,S,33.7,367.7,,0,chat_finish,,639317,1000000
S5,2026-09-07 23:44:43.675,S,5.6,174.6,,0,chat_finish,,661206,1000000
S5,2026-09-08 07:05:10.956,F,34.5,232.3,,0,chat_finish,,678203,1000000
S5,2026-09-08 07:21:48.820,F,35.9,58.8,,0,chat_finish,,701058,1000000
S5,2026-09-08 07:25:55.430,S,6.8,77.2,,0,chat_finish,,704165,1000000
S5,2026-09-08 07:34:00.844,S,5.8,183.8,,0,chat_finish,,724209,1000000
S5,2026-09-08 07:44:27.853,S,3.2,107.6,,0,chat_finish,,167602,1000000
S5,2026-09-08 07:47:23.761,S,11.9,96.0,,0,chat_finish,,182890,1000000
S5,2026-09-08 07:50:21.274,S,5.6,102.4,,0,chat_finish,,193426,1000000
S5,2026-09-08 07:54:51.043,S,7.4,132.5,,0,chat_finish,,204724,1000000
S5,2026-09-08 08:01:20.818,S,6.5,41.9,,0,chat_finish,,219578,1000000
S5,2026-09-08 08:04:36.196,S,20.6,73.9,,0,chat_finish,,224736,1000000
S5,2026-09-08 08:05:50.284,S,4.3,91.6,,0,chat_finish,,229753,1000000
S5,2026-09-08 08:12:10.021,S,6.7,420.8,,0,chat_finish,,234294,1000000
S5,2026-09-08 08:22:41.536,S,37.4,122.4,,0,chat_finish,,267829,1000000
S5,2026-09-08 08:36:48.610,S,55.0,111.8,,0,chat_finish,,275336,1000000
S5,2026-09-08 08:38:40.589,S,4.4,62.2,,0,chat_finish,,282399,1000000
S5,2026-09-08 08:44:40.469,S,90.9,664.3,,0,chat_finish,,290871,1000000
S5,2026-09-08 08:55:52.535,S,35.9,134.7,,0,chat_finish,,327565,1000000
S5,2026-09-08 09:00:20.530,S,103.3,796.9,,0,chat_finish,,335046,1000000
S5,2026-09-08 09:15:25.696,S,30.6,248.5,,0,chat_finish,,367488,1000000
S5,2026-09-08 09:25:24.678,F,5.9,119.9,,0,chat_finish,,376714,1000000
S5,2026-09-08 09:51:10.128,S,31.8,67.8,,0,chat_finish,,381538,1000000
S5,2026-09-08 10:00:56.341,S,4.5,224.6,,0,chat_finish,,402897,1000000
S5,2026-09-08 10:05:48.663,S,42.0,120.9,,0,chat_finish,,412851,1000000
S5,2026-09-08 10:07:58.310,S,6.0,28.7,,0,chat_finish,,420714,1000000
S5,2026-09-08 10:09:32.219,S,5.7,67.6,,0,chat_finish,,423046,1000000
S5,2026-09-08 10:12:55.155,S,8.0,95.5,,0,chat_finish,,431187,1000000
S5,2026-09-08 11:36:22.008,T,42.1,,721.2,0,permission_request,679.1,435875,1000000
S5,2026-09-08 11:36:22.008,T,42.1,,884.7,0,permission_request,842.6,435875,1000000
S5,2026-09-08 11:36:22.008,T,42.1,,986.4,0,permission_request,944.3,435875,1000000
S5,2026-09-08 11:36:22.008,S,42.1,1167.3,,3,chat_finish,,435875,1000000
S6,2026-09-08 13:17:32.900,S,47.8,85.9,,0,chat_finish,,,
S6,2026-09-08 13:19:46.576,S,1.5,83.3,,0,chat_finish,,23157,1000000
S6,2026-09-08 13:22:01.708,S,1.4,26.0,,0,chat_finish,,29947,1000000
S6,2026-09-08 13:23:18.106,S,1.4,122.0,,0,chat_finish,,31504,1000000
S6,2026-09-08 13:28:06.695,S,5.6,26.3,,0,chat_finish,,42272,1000000
S6,2026-09-08 13:31:13.216,S,5.7,18.2,,0,chat_finish,,44974,1000000
S6,2026-09-08 13:33:28.380,S,5.7,24.3,,0,chat_finish,,46560,1000000
S6,2026-09-08 13:35:07.536,S,6.9,49.0,,0,chat_finish,,48811,1000000
S6,2026-09-08 13:37:10.369,S,6.5,42.7,,0,chat_finish,,52501,1000000
S6,2026-09-08 13:40:01.971,S,6.5,32.6,,0,chat_finish,,55935,1000000
S6,2026-09-08 13:40:58.528,S,7.1,23.5,,0,chat_finish,,59228,1000000
S5,2026-09-08 15:51:58.583,T,47.6,,348.2,0,resume_tool_call,300.6,473785,200000
S5,2026-09-08 15:51:58.583,S,47.6,796.7,,1,chat_finish,,473785,200000
S5,2026-09-08 16:16:24.039,S,52.1,690.1,,0,chat_finish,,496167,1000000
S5,2026-09-08 16:36:09.015,S,29.3,352.4,,0,chat_finish,,541628,1000000
S5,2026-09-08 16:47:51.054,S,57.2,154.9,,0,chat_finish,,556414,1000000
S5,2026-09-08 16:57:33.757,U,,5.8,,0,user_cancel,,561030,1000000
S5,2026-09-08 16:57:51.527,S,30.3,93.4,,0,chat_finish,,561030,1000000
S5,2026-09-08 19:54:46.732,F,61.1,82.6,,0,chat_finish,,566885,1000000
S5,2026-09-08 19:58:43.511,S,79.0,678.4,,0,chat_finish,,570125,1000000
S5,2026-09-08 20:15:04.205,S,32.4,78.4,,0,chat_finish,,608094,1000000
S5,2026-09-08 20:19:22.120,S,34.8,70.2,,0,chat_finish,,612006,1000000
S5,2026-09-08 20:23:20.507,F,35.6,123.1,,0,chat_finish,,617398,1000000
S5,2026-09-08 20:25:30.052,S,9.5,41.5,,0,chat_finish,,619687,1000000
S7,2026-09-08 20:57:14.545,S,2.2,1122.7,,0,chat_finish,,,
S5,2026-09-08 21:41:55.611,T,132.3,,132.3,0,resume_tool_call,0.0,622663,1000000
S5,2026-09-08 21:41:55.611,S,132.3,2337.4,,1,chat_finish,,622663,1000000
S5,2026-09-08 22:53:46.346,F,36.6,91.0,,0,chat_finish,,637718,1000000
S5,2026-09-08 23:15:26.661,T,81.0,,242.7,0,resume_tool_call,161.7,643267,1000000
S5,2026-09-08 23:15:26.661,T,81.0,,396.2,0,resume_tool_call,315.2,643267,1000000
S5,2026-09-08 23:15:26.661,F,81.0,428.0,,0,chat_finish,,643267,1000000
S5,2026-09-08 23:23:04.262,T,105.8,,322.7,0,permission_request,216.9,647290,1000000
S5,2026-09-08 23:23:04.262,S,105.8,1025.5,,1,chat_finish,,647290,1000000
S5,2026-09-08 23:40:10.249,T,8.4,,62.3,0,permission_request,53.9,692008,1000000
S5,2026-09-08 23:44:17.015,S,7.1,49.5,,0,chat_finish,,698809,1000000
S5,2026-09-09 00:14:55.017,T,127.1,,127.1,0,resume_tool_call,0.0,701772,1000000
S5,2026-09-09 00:14:55.017,S,127.1,274.1,,1,chat_finish,,701772,1000000
S8,2026-09-09 00:16:37.314,F,2.0,618.9,,0,chat_finish,,,
S5,2026-09-09 00:25:30.460,S,83.7,92.0,,0,chat_finish,,709035,1000000
S5,2026-09-09 00:28:45.157,S,8.4,75.8,,0,chat_finish,,712618,1000000
S8,2026-09-09 00:30:10.006,S,11.4,311.3,,0,chat_finish,,94887,1000000
S5,2026-09-09 00:31:49.698,S,8.6,101.1,,0,chat_finish,,717446,1000000
S8,2026-09-09 00:45:42.546,F,12.4,134.9,,0,chat_finish,,110897,1000000
S5,2026-09-09 00:47:48.750,S,8.6,130.3,,0,chat_finish,,723471,1000000
S8,2026-09-09 00:48:35.089,S,13.5,333.3,,0,chat_finish,,117194,1000000
S5,2026-09-09 00:49:59.263,S,9.1,45.4,,0,chat_finish,,732144,1000000
S5,2026-09-09 00:53:48.824,S,8.7,100.5,,0,chat_finish,,739261,1000000
S5,2026-09-09 00:57:52.076,S,9.0,127.6,,0,chat_finish,,168170,1000000
S8,2026-09-09 00:59:00.993,T,15.8,,524.6,0,permission_request,508.8,135896,1000000
S8,2026-09-09 00:59:00.993,S,15.8,1530.8,,1,chat_finish,,135896,1000000
S5,2026-09-09 01:12:24.969,S,9.1,10.2,,0,chat_finish,,183272,1000000
S5,2026-09-09 01:13:01.309,S,3.1,62.2,,0,chat_finish,,183491,1000000
S5,2026-09-09 01:16:05.096,S,9.4,196.1,,0,chat_finish,,189092,1000000
S5,2026-09-09 01:20:51.538,S,10.2,146.2,,0,chat_finish,,210052,1000000
S8,2026-09-09 01:24:32.089,S,4.1,198.0,,0,chat_finish,,275831,1000000
S8,2026-09-09 01:27:50.324,S,4.0,48.9,,0,chat_finish,,293797,1000000
S8,2026-09-09 01:43:58.803,S,27.3,363.8,,0,chat_finish,,299575,1000000
S8,2026-09-09 01:53:06.693,S,6.7,96.3,,0,chat_finish,,327942,1000000
S8,2026-09-09 01:57:11.520,S,5.3,161.9,,0,chat_finish,,337309,1000000
S8,2026-09-09 01:59:53.632,S,4.4,160.6,,0,chat_finish,,351354,1000000
S8,2026-09-09 02:55:59.333,S,21.0,171.9,,0,chat_finish,,364240,1000000
S8,2026-09-09 07:44:29.411,S,35.4,239.2,,0,chat_finish,,384735,1000000
S8,2026-09-09 08:08:49.396,S,40.9,503.5,,0,chat_finish,,404500,1000000
S8,2026-09-09 08:34:45.488,T,50.3,,803.2,0,resume_tool_call,753.0,421868,1000000
S8,2026-09-09 08:34:45.488,S,50.3,1105.5,,1,chat_finish,,421868,1000000
S8,2026-09-09 09:05:01.851,S,42.4,1619.4,,0,chat_finish,,448626,1000000
S8,2026-09-09 10:40:26.064,S,25.9,126.6,,0,chat_finish,,490145,1000000
S8,2026-09-09 10:48:52.288,S,28.5,64.7,,0,chat_finish,,494945,1000000
S8,2026-09-09 10:56:35.369,S,10.4,246.0,,0,chat_finish,,498219,1000000
S8,2026-09-09 11:00:41.769,S,11.2,111.5,,0,chat_finish,,517752,1000000
S8,2026-09-09 11:07:26.839,F,9.6,123.3,,0,chat_finish,,531840,1000000
S8,2026-09-09 11:11:14.531,S,9.1,224.1,,0,chat_finish,,542044,1000000
S8,2026-09-09 11:33:03.836,S,32.3,190.7,,0,chat_finish,,565292,1000000
S8,2026-09-09 11:42:30.899,S,52.3,176.3,,0,chat_finish,,575592,1000000
S8,2026-09-09 11:48:08.632,F,33.3,57.2,,0,chat_finish,,583221,1000000
S8,2026-09-09 11:50:09.340,S,8.8,190.7,,0,chat_finish,,585007,1000000
S8,2026-09-09 11:58:13.227,S,34.4,158.5,,0,chat_finish,,596635,1000000
S8,2026-09-09 12:10:58.298,S,34.4,154.6,,0,chat_finish,,604249,1000000
S8,2026-09-09 12:16:04.706,T,33.2,,175.1,0,resume_tool_call,141.9,611457,1000000
S8,2026-09-09 12:16:04.706,T,33.2,,262.2,0,resume_tool_call,229.0,611457,1000000
S8,2026-09-09 12:16:04.706,S,33.2,356.4,,2,chat_finish,,611457,1000000
S8,2026-09-09 12:30:21.276,F,57.6,91.6,,0,chat_finish,,617813,1000000
S8,2026-09-09 12:32:10.758,S,124.2,262.0,,0,chat_finish,,620088,1000000
S8,2026-09-09 12:46:25.505,S,44.3,63.2,,0,chat_finish,,629836,1000000
S8,2026-09-09 12:48:46.399,S,8.8,193.2,,0,chat_finish,,631821,1000000
S8,2026-09-09 12:58:54.051,S,36.1,252.3,,0,chat_finish,,648925,1000000
S8,2026-09-09 13:07:16.594,S,37.4,75.5,,0,chat_finish,,663184,1000000
S8,2026-09-09 13:12:44.509,S,36.7,77.5,,0,chat_finish,,666935,1000000
S8,2026-09-09 13:33:10.637,T,82.3,,215.5,0,resume_tool_call,133.2,670968,1000000
S8,2026-09-09 13:33:10.637,T,82.3,,360.5,0,resume_tool_call,278.1,670968,1000000
S8,2026-09-09 13:33:10.637,T,82.3,,520.2,0,resume_tool_call,437.8,670968,1000000
S8,2026-09-09 13:33:10.637,T,82.3,,1422.1,0,resume_tool_call,1339.7,670968,1000000
S8,2026-09-09 13:33:10.637,S,82.3,1688.4,,4,chat_finish,,670968,1000000
S8,2026-09-09 14:01:19.455,S,99.9,152.0,,0,chat_finish,,706395,1000000
S8,2026-09-09 14:06:50.608,T,96.5,,241.7,0,resume_tool_call,145.3,710562,1000000
S8,2026-09-09 14:06:50.608,T,96.5,,305.4,0,resume_tool_call,208.9,710562,1000000
S8,2026-09-09 14:06:50.608,S,96.5,408.6,,2,chat_finish,,710562,1000000
S8,2026-09-09 14:13:39.496,T,126.2,,126.2,0,resume_tool_call,0.0,720338,1000000
S8,2026-09-09 14:13:39.496,T,126.2,,204.8,0,resume_tool_call,78.6,720338,1000000
S8,2026-09-09 14:13:39.496,T,126.2,,392.7,0,resume_tool_call,266.5,720338,1000000
S8,2026-09-09 14:13:39.496,S,126.2,442.0,,3,chat_finish,,720338,1000000
S8,2026-09-09 14:21:01.780,T,21.4,,164.3,0,resume_tool_call,142.9,725868,1000000
S8,2026-09-09 14:21:01.780,T,21.4,,343.4,0,resume_tool_call,322.1,725868,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,61.1,0,resume_tool_call,0.0,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,130.7,0,resume_tool_call,69.6,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,206.0,0,resume_tool_call,144.9,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,287.7,0,resume_tool_call,226.6,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,352.9,0,resume_tool_call,291.8,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,619.8,0,resume_tool_call,558.7,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,1063.9,0,resume_tool_call,1002.8,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,1321.2,0,resume_tool_call,1260.0,727147,1000000
S8,2026-09-09 14:26:48.273,T,61.1,,1475.7,0,resume_tool_call,1414.6,727147,1000000
S9,2026-09-09 14:52:52.343,S,2.7,600.1,,0,chat_finish,,,
S9,2026-09-09 15:03:40.670,S,6.6,67.4,,0,chat_finish,,60281,1000000
S9,2026-09-09 15:06:33.237,T,7.1,,50.2,0,permission_request,43.1,66654,1000000
S9,2026-09-09 15:06:33.237,S,7.1,299.9,,1,chat_finish,,66654,1000000
S9,2026-09-09 15:13:12.423,T,14.0,,688.4,0,resume_tool_call,674.4,98903,1000000
S9,2026-09-09 15:13:12.423,T,14.0,,1208.9,0,resume_tool_call,1195.0,98903,1000000
S9,2026-09-09 15:13:12.423,S,14.0,1652.3,,2,chat_finish,,98903,1000000
S9,2026-09-09 16:13:33.727,S,14.5,766.2,,0,chat_finish,,178721,1000000
S9,2026-09-09 16:31:10.286,S,13.8,120.0,,0,chat_finish,,240274,1000000
S9,2026-09-09 16:46:33.863,S,14.6,145.8,,0,chat_finish,,248543,1000000
S9,2026-09-09 17:00:26.808,T,54.7,,224.9,0,resume_tool_call,170.2,259044,1000000
S9,2026-09-09 17:00:26.808,T,54.7,,293.8,0,resume_tool_call,239.1,259044,1000000
S9,2026-09-09 17:00:26.808,S,54.7,774.2,,2,chat_finish,,259044,1000000
S10,2026-09-09 17:22:19.246,F,,0.5,,0,chat_finish,,,
